sigma,train-accuracy,test-accuracy
0.1,1.0,0.9999553929877777
0.5,0.9999426452032272,0.9999107859755554
1.0,0.9961189920850381,0.9977696493888839
1.5,0.9757389209650901,0.9832277634044072
2.0,0.9407333766680687,0.9483896868587742
3.0,0.9011394486292204,0.9000802926220002
4.0,0.8902038007111995,0.8884824694441966
6.0,0.8833976981608228,0.8812561334641805
8.0,0.8808167323060452,0.8789811758408422
10.0,0.8797652276985432,0.8779998215719511
