k-value,train-accuracy,test-accuracy
1,1.0,0.951824426799893
3,0.9691431193362138,0.9466054063698813
5,0.9615722861621994,0.9454902310643233
7,0.9565059457805988,0.9444196627709875
9,0.9530837762398195,0.9433490944776519
11,0.9506939930409514,0.941832456062093
13,0.9491645317936757,0.9411187438665358
15,0.9473482965625358,0.9401819966098671
17,0.9462776736894429,0.9392452493531983
