run,train-accuracy,test-accuracy
0,0.9895600298284862,0.9895652173913043
1,0.9878200347999005,0.9860869565217392
2,0.9913000248570718,0.9872463768115942
3,0.990057171265225,0.9895652173913043
4,0.9913000248570718,0.9901449275362318
5,0.9823514789957744,0.9826086956521739
6,0.9880686055182699,0.984927536231884
7,0.9888143176733781,0.9884057971014493
8,0.990057171265225,0.9901449275362318
9,0.9890628883917475,0.9895652173913043
10,0.9878200347999005,0.9895652173913043
11,0.9883171762366393,0.9895652173913043
12,0.9873228933631618,0.9878260869565217
13,0.990057171265225,0.9878260869565217
14,0.9868257519264231,0.9884057971014493
15,0.9915485955754412,0.9907246376811594
16,0.9895600298284862,0.9901449275362318
17,0.9888143176733781,0.9884057971014493
18,0.990057171265225,0.9866666666666667
19,0.9893114591101169,0.9866666666666667
20,0.9913000248570718,0.9884057971014493
21,0.9893114591101169,0.9901449275362318
22,0.9913000248570718,0.991304347826087
23,0.9898086005468556,0.9889855072463768
24,0.9875714640815312,0.9895652173913043
25,0.9905543127019637,0.9889855072463768
26,0.9858314690529456,0.9855072463768116
27,0.9873228933631618,0.984927536231884
28,0.9903057419835943,0.9907246376811594
29,0.9885657469550087,0.9901449275362318
30,0.9910514541387024,0.9924637681159421
31,0.9913000248570718,0.9907246376811594
32,0.9903057419835943,0.9872463768115942
33,0.9883171762366393,0.9866666666666667
34,0.9838429033059906,0.9860869565217392
35,0.9905543127019637,0.9895652173913043
36,0.9893114591101169,0.9884057971014493
37,0.9913000248570718,0.9878260869565217
38,0.9888143176733781,0.9855072463768116
39,0.990057171265225,0.9901449275362318
40,0.984837186179468,0.9866666666666667
41,0.9893114591101169,0.9907246376811594
42,0.9833457618692518,0.9820289855072464
43,0.9893114591101169,0.9895652173913043
44,0.9893114591101169,0.9889855072463768
45,0.990057171265225,0.9884057971014493
46,0.9893114591101169,0.9889855072463768
47,0.9858314690529456,0.9855072463768116
48,0.9858314690529456,0.9872463768115942
49,0.9895600298284862,0.9872463768115942
50,0.9880686055182699,0.9860869565217392
51,0.990057171265225,0.991304347826087
52,0.9875714640815312,0.9855072463768116
53,0.9905543127019637,0.9907246376811594
54,0.9898086005468556,0.9918840579710145
55,0.9903057419835943,0.9878260869565217
56,0.9908028834203331,0.9878260869565217
57,0.990057171265225,0.9878260869565217
58,0.9913000248570718,0.9889855072463768
59,0.9913000248570718,0.9901449275362318
60,0.9903057419835943,0.9843478260869565
61,0.990057171265225,0.9901449275362318
62,0.9910514541387024,0.9884057971014493
63,0.9913000248570718,0.9901449275362318
64,0.9922943077305494,0.9884057971014493
65,0.9908028834203331,0.9907246376811594
66,0.9873228933631618,0.9907246376811594
67,0.9883171762366393,0.9860869565217392
68,0.9868257519264231,0.9884057971014493
69,0.9905543127019637,0.9889855072463768
70,0.99204573701218,0.991304347826087
71,0.9888143176733781,0.9889855072463768
72,0.974894357444693,0.9779710144927536
73,0.9885657469550087,0.9895652173913043
74,0.990057171265225,0.9889855072463768
75,0.990057171265225,0.9878260869565217
76,0.9865771812080537,0.9901449275362318
77,0.9883171762366393,0.9878260869565217
78,0.9853343276162068,0.9872463768115942
79,0.9903057419835943,0.9895652173913043
80,0.9910514541387024,0.9878260869565217
81,0.9895600298284862,0.9889855072463768
82,0.9888143176733781,0.9901449275362318
83,0.9908028834203331,0.9872463768115942
84,0.9890628883917475,0.9889855072463768
85,0.990057171265225,0.9878260869565217
86,0.9816057668406661,0.9791304347826087
87,0.9903057419835943,0.9889855072463768
88,0.9880686055182699,0.9866666666666667
89,0.9843400447427293,0.9843478260869565
90,0.9898086005468556,0.9860869565217392
91,0.9898086005468556,0.9907246376811594
92,0.9910514541387024,0.9889855072463768
93,0.9895600298284862,0.9884057971014493
94,0.9908028834203331,0.9866666666666667
95,0.99204573701218,0.9889855072463768
96,0.9898086005468556,0.9901449275362318
97,0.9883171762366393,0.9878260869565217
98,0.9922943077305494,0.9878260869565217
99,0.99204573701218,0.9907246376811594
