,Class-1,Class-2,Validation-Set_Accuracy
211,V,B,0.5089855072463768
212,V,C,0.5066666666666667
213,V,D,0.5078260869565218
214,V,E,0.4944927536231884
215,V,F,0.4991304347826087
216,V,G,0.5136231884057971
217,V,H,0.487536231884058
218,V,I,0.5217391304347826
219,V,J,0.5321739130434783
220,V,K,0.4973913043478261
221,V,L,0.5147826086956522
222,V,M,0.4927536231884058
223,V,N,0.48405797101449277
224,V,O,0.5008695652173913
225,V,P,0.518840579710145
226,V,Q,0.5182608695652174
227,V,R,0.487536231884058
228,V,S,0.4956521739130435
229,V,T,0.49333333333333335
230,V,U,0.4991304347826087
231,W,A,0.5101449275362319
232,W,B,0.48927536231884056
233,W,C,0.49391304347826087
234,W,D,0.47884057971014493
235,W,E,0.5043478260869565
236,W,F,0.49681159420289855
237,W,G,0.5130434782608696
238,W,H,0.5176811594202898
239,W,I,0.5002898550724638
240,W,J,0.49391304347826087
241,W,K,0.5066666666666667
242,W,L,0.4915942028985507
243,W,M,0.5089855072463768
244,W,N,0.5153623188405797
245,W,O,0.5217391304347826
246,W,P,0.5089855072463768
247,W,Q,0.5136231884057971
248,W,R,0.49391304347826087
249,W,S,0.48927536231884056
250,W,T,0.5020289855072464
251,W,U,0.5002898550724638
252,W,V,0.4950724637681159
253,X,A,0.48579710144927535
254,X,B,0.5084057971014493
255,X,C,0.48579710144927535
256,X,D,0.5031884057971014
257,X,E,0.4817391304347826
258,X,F,0.49043478260869566
259,X,G,0.5043478260869565
260,X,H,0.4985507246376812
261,X,I,0.5014492753623189
262,X,J,0.4979710144927536
263,X,K,0.4915942028985507
264,X,L,0.5159420289855072
265,X,M,0.52
266,X,N,0.5176811594202898
267,X,O,0.49333333333333335
268,X,P,0.5060869565217392
269,X,Q,0.4910144927536232
270,X,R,0.48695652173913045
271,X,S,0.49333333333333335
272,X,T,0.4985507246376812
273,X,U,0.5118840579710144
274,X,V,0.4863768115942029
275,X,W,0.487536231884058
276,Y,A,0.5136231884057971
277,Y,B,0.48985507246376814
278,Y,C,0.49391304347826087
279,Y,D,0.49623188405797103
280,Y,E,0.4973913043478261
281,Y,F,0.5014492753623189
282,Y,G,0.49971014492753624
283,Y,H,0.5113043478260869
284,Y,I,0.5089855072463768
285,Y,J,0.48869565217391303
286,Y,K,0.5031884057971014
287,Y,L,0.48869565217391303
288,Y,M,0.5095652173913043
289,Y,N,0.5055072463768115
290,Y,O,0.49971014492753624
291,Y,P,0.5182608695652174
292,Y,Q,0.47884057971014493
293,Y,R,0.5113043478260869
294,Y,S,0.5107246376811594
295,Y,T,0.5101449275362319
296,Y,U,0.4701449275362319
297,Y,V,0.5002898550724638
298,Y,W,0.5031884057971014
299,Y,X,0.49623188405797103
300,Z,A,0.48289855072463767
301,Z,B,0.4956521739130435
302,Z,C,0.5113043478260869
303,Z,D,0.48579710144927535
304,Z,E,0.5008695652173913
305,Z,F,0.48579710144927535
306,Z,G,0.5066666666666667
307,Z,H,0.4701449275362319
308,Z,I,0.48869565217391303
309,Z,J,0.4985507246376812
310,Z,K,0.5165217391304348
311,Z,L,0.4811594202898551
312,Z,M,0.5176811594202898
313,Z,N,0.48695652173913045
314,Z,O,0.49333333333333335
